Micropterix tunbergella,Micropterigidae,,Micropterix,tunbergella
Micropterix mansuetella,Micropterigidae,,Micropterix,mansuetella
Micropterix aureatella,Micropterigidae,,Micropterix,aureatella
Micropterix aruncella,Micropterigidae,,Micropterix,aruncella
Micropterix calthella,Micropterigidae,,Micropterix,calthella
Dyseriocrania subpurpurella,Eriocraniidae,,Dyseriocrania,subpurpurella
Paracrania chrysolepidella,Eriocraniidae,,Paracrania,chrysolepidella
Eriocrania unimaculella,Eriocraniidae,,Eriocrania,unimaculella
Eriocrania sparrmannella,Eriocraniidae,,Eriocrania,sparrmannella
Eriocrania salopiella,Eriocraniidae,,Eriocrania,salopiella
Eriocrania cicatricella,Eriocraniidae,,Eriocrania,cicatricella
Eriocrania semipurpurella,Eriocraniidae,,Eriocrania,semipurpurella
Eriocrania sangii,Eriocraniidae,,Eriocrania,sangii
Orange Swift,Hepialidae,,Triodia,sylvina
Triodia sylvina,Hepialidae,,Triodia,sylvina
Common Swift,Hepialidae,,Korscheltellus,lupulina
Korscheltellus lupulina,Hepialidae,,Korscheltellus,lupulina
Map-winged Swift,Hepialidae,,Korscheltellus,fusconebulosa
Korscheltellus fusconebulosa,Hepialidae,,Korscheltellus,fusconebulosa
Gold Swift,Hepialidae,,Phymatopus,hecta
Phymatopus hecta,Hepialidae,,Phymatopus,hecta
Ghost Moth,Hepialidae,,Hepialus,humuli
Hepialus humuli,Hepialidae,,Hepialus,humuli
Enteucha acetosae,Nepticulidae,Nepticulinae,Enteucha,acetosae
Stigmella lapponica,Nepticulidae,Nepticulinae,Stigmella,lapponica
Stigmella confusella,Nepticulidae,Nepticulinae,Stigmella,confusella
Stigmella tiliae,Nepticulidae,Nepticulinae,Stigmella,tiliae
Stigmella betulicola,Nepticulidae,Nepticulinae,Stigmella,betulicola
Stigmella sakhalinella,Nepticulidae,Nepticulinae,Stigmella,sakhalinella
Stigmella luteella,Nepticulidae,Nepticulinae,Stigmella,luteella
Stigmella glutinosae,Nepticulidae,Nepticulinae,Stigmella,glutinosae
Stigmella alnetella,Nepticulidae,Nepticulinae,Stigmella,alnetella
Stigmella microtheriella,Nepticulidae,Nepticulinae,Stigmella,microtheriella
Stigmella prunetorum,Nepticulidae,Nepticulinae,Stigmella,prunetorum
Stigmella aceris,Nepticulidae,Nepticulinae,Stigmella,aceris
Apple Pygmy,Nepticulidae,Nepticulinae,Stigmella,malella
Stigmella malella,Nepticulidae,Nepticulinae,Stigmella,malella
Stigmella catharticella,Nepticulidae,Nepticulinae,Stigmella,catharticella
Rose Leaf Miner,Nepticulidae,Nepticulinae,Stigmella,anomalella
Stigmella anomalella,Nepticulidae,Nepticulinae,Stigmella,anomalella
Stigmella spinosissimae,Nepticulidae,Nepticulinae,Stigmella,spinosissimae
Stigmella centifoliella,Nepticulidae,Nepticulinae,Stigmella,centifoliella
Stigmella ulmivora,Nepticulidae,Nepticulinae,Stigmella,ulmivora
Stigmella viscerella,Nepticulidae,Nepticulinae,Stigmella,viscerella
Stigmella paradoxa,Nepticulidae,Nepticulinae,Stigmella,paradoxa
Stigmella torminalis,Nepticulidae,Nepticulinae,Stigmella,torminalis
Stigmella regiella,Nepticulidae,Nepticulinae,Stigmella,regiella
Stigmella crataegella,Nepticulidae,Nepticulinae,Stigmella,crataegella
Stigmella magdalenae,Nepticulidae,Nepticulinae,Stigmella,magdalenae
Stigmella nylandriella,Nepticulidae,Nepticulinae,Stigmella,nylandriella
Stigmella oxyacanthella,Nepticulidae,Nepticulinae,Stigmella,oxyacanthella
Stigmella pyri,Nepticulidae,Nepticulinae,Stigmella,pyri
Stigmella minusculella,Nepticulidae,Nepticulinae,Stigmella,minusculella
Stigmella desperatella,Nepticulidae,Nepticulinae,Stigmella,desperatella
Stigmella hybnerella,Nepticulidae,Nepticulinae,Stigmella,hybnerella
Stigmella mespilicola,Nepticulidae,Nepticulinae,Stigmella,mespilicola
Stigmella floslactella,Nepticulidae,Nepticulinae,Stigmella,floslactella
