ukmoths,irecord
Micropterix tunbergella,Red-barred Gold
Micropterix mansuetella,Black-headed Gold
Micropterix aureatella,Yellow-barred Gold
Micropterix aruncella,White-barred Gold
Micropterix calthella,Plain Gold
Dyseriocrania subpurpurella,Common Oak Purple
Paracrania chrysolepidella,Small Hazel Purple
Eriocrania unimaculella,White-spot Purple
Eriocrania sparrmannella,Mottled Purple
Eriocrania salopiella,Small Birch Purple
Eriocrania cicatricella,Washed Purple
Eriocrania semipurpurella,Early Purple
Eriocrania sangii,Large Birch Purple
Orange Swift,Orange Swift
Common Swift,Common Swift
Map-winged Swift,Map-winged Swift
Gold Swift,Gold Swift
Ghost Moth,Ghost Moth
Enteucha acetosae,Sorrel Pigmy
Stigmella lapponica,Drab Birch Pigmy
Stigmella confusella,Pale Birch Pigmy
Stigmella tiliae,Lime Pigmy
Stigmella betulicola,Common Birch Pigmy
Stigmella sakhalinella,Small Birch Pigmy
Stigmella luteella,Short-barred Pigmy
Stigmella glutinosae,White-barred Alder Pigmy
Stigmella alnetella,Silver-barred Alder Pigmy
Stigmella microtheriella,Nut-tree Pigmy
Stigmella prunetorum,Scarce Sloe Pigmy
Stigmella aceris,Scarce Maple Pigmy
Apple Pygmy,Apple Pygmy
Stigmella catharticella,Buckthorn Pigmy
Rose Leaf Miner,Rose Leaf Miner
Stigmella spinosissimae,Plain Rose Pigmy
Stigmella centifoliella,Narrow-barred Pigmy
Stigmella ulmivora,Barred Elm Pigmy
Stigmella viscerella,Plain Elm Pigmy
Stigmella paradoxa,Scarce Thorn Pigmy
Stigmella torminalis,Hereford Pigmy
Stigmella regiella,Purple-shot Pigmy
Stigmella crataegella,Common Thorn Pigmy
Stigmella magdalenae,Northern Rowan Pigmy
Stigmella nylandriella,Common Rowan Pigmy
Stigmella oxyacanthella,Common Fruit-tree Pigmy
Stigmella pyri,Pear-tree Pigmy
Stigmella minusculella,Brown-tipped Pigmy
Stigmella desperatella,Scarce Apple Pigmy
Stigmella hybnerella,Greenish Thorn Pigmy
Stigmella mespilicola,Wild-service Pigmy
Stigmella floslactella,Coarse Hazel Pigmy
Stigmella carpinella,Hornbeam Pigmy
Stigmella tityrella,Small Beech Pigmy
Stigmella salicis,Sallow Pigmy
Stigmella myrtillella,Bilberry Pigmy
Stigmella zelleriella,Sandhill Pigmy
Stigmella obliquella,Willow Pigmy
Stigmella trimaculella,Black-poplar Pigmy
Stigmella assimilella,Aspen Pigmy
Stigmella sorbi,Barred Rowan Pigmy
Stigmella plagicolella,Scrubland Pigmy
Stigmella lemniscella,Red Elm Pigmy
Stigmella continuella,Double-barred Pigmy
Stigmella aurella,Golden Pigmy
Stigmella auromarginella,Gold-edged Pigmy
Stigmella splendidissimella,Glossy Bramble Pigmy
Stigmella pretiosa,Water-avens Pigmy
Stigmella aeneofasciella,Brassy Pigmy
Stigmella dryadella,Mountain-avens Pigmy
Stigmella poterii,Downland Pigmy
Stigmella filipendulae,Meadow-sweet Pigmy
Stigmella incognitella,Grey Apple Pigmy
Stigmella perpygmaeella,Least Thorn Pigmy
Stigmella hemargyrella,Beech Pigmy
Stigmella speciosa,Barred Sycamore Pigmy
Stigmella suberivora,Holm-oak Pigmy
Stigmella basiguttella,Base-spotted Pigmy
Stigmella svenssoni,Orange-headed Pigmy
Stigmella ruficapitella,Red-headed Pigmy
Stigmella atricapitella,Black-headed Pigmy
Stigmella samiatella,Chestnut Pigmy
Stigmella roborella,Common Oak Pigmy
Trifurcula headleyella,Self-heal Pigmy
Trifurcula cryptella,Wood Lotus Pigmy
Trifurcula eurema,Field Lotus Pigmy
Trifurcula subnitidella,Dingy Meadow Pigmy
Trifurcula immundella,Broom Pigmy
Trifurcula beirnei,Greenweed Pigmy
Trifurcula squamatella,Lost Broom Pigmy
Bohemannia pulverosella,Dusty Apple Pigmy
Bohemannia quadrimaculella,Four-spot Pigmy
Bohemannia auriciliella,Gold-fringed Pigmy
Ectoedemia sericopeza,Norway-maple Pigmy
Ectoedemia louisella,Maple-seed Pigmy
Ectoedemia decentella,Sycamore-seed Pigmy
Ectoedemia weaveri,Cowberry Pigmy
Ectoedemia septembrella,Hypericum Pigmy
Ectoedemia atrifrontella,Oak-bark Pigmy
Ectoedemia longicaudella,Ectoedemia longicaudella
Ectoedemia amani,Elm-bark Pigmy
Ectoedemia intimella,Black-spot Sallow Pigmy
Ectoedemia hannoverella,Ectoedemia hannoverella
Ectoedemia turbidella,Grey-poplar Pigmy
Ectoedemia argyropeza,Virgin Pigmy
Ectoedemia heckfordi,Heckford Pygmy Moth
Ectoedemia quinquella,Five-spot Pigmy
Ectoedemia heringella,Ectoedemia heringella
Ectoedemia albifasciella,White-banded Pigmy
Ectoedemia subbimaculella,Spotted Black Pigmy
Ectoedemia heringi,White-spot Pigmy
Ectoedemia erythrogenella,Coast Bramble Pigmy
Ectoedemia agrimoniae,Agrimony Pigmy
Ectoedemia angulifasciella,Bent-barred Pigmy
Ectoedemia atricollis,Pinch-barred Pigmy
Ectoedemia arcuatella,Strawberry Pigmy
Ectoedemia rubivora,Dewberry Pigmy
Ectoedemia spinosella,Blackthorn Pigmy
Ectoedemia occultella,Large Birch Pigmy
Ectoedemia minimella,Broken-barred Pigmy
Opostega salaciella,Sorrel Bent-wing
Opostega spatulella,Essex Bent-wing
Pseudopostega auritella,Fen Bent-wing
Pseudopostega crepusculella,Mint Bent-wing
Antispila metallella,Four-spot Lift
Antispila treitschkiella,Yellow-spot Lift
Heliozela sericiella,Oak Satin Lift
Heliozela resplendella,Alder Lift
Heliozela hammoniella,Birch Lift
Nemophora degeerella,Yellow-barred Long-horn
Nemophora metallica,Brassy Long-horn
Nemophora cupriacella,Coppery Long-horn
Nemophora fasciella,Horehound Long-horn
Nemophora minimella,Small Long-horn
Adela reaumurella,Green Long-horn
Adela cuprella,Early Long-horn
Adela croesella,Small Barred Long-horn
Cauchas fibulella,Little Long-horn
Cauchas rufimitrella,Meadow Long-horn
Nematopogon pilella,Pale Brown Long-horn
Nematopogon schwarziellus,Sandy Long-horn
Nematopogon magna,Scarce Long-horn
Nematopogon metaxella,Buff Long-horn
Nematopogon swammerdamella,Large Long-horn
Incurvaria pectinea,Pale Feathered Bright
Incurvaria masculella,Feathered Bright
Incurvaria oehlmanniella,Common Bright
Incurvaria praelatella,Strawberry Bright
Phylloporia bistrigella,Striped Bright
Currant Shoot Borer,Currant Shoot Borer
Lampronia luzella,Wood Bright
Raspberry Moth,Raspberry Moth
Lampronia morosa,Rose Bright
Lampronia flavimitrella,Bramble Bright
Lampronia fuscatella,Scarce Bright
Lampronia pubicornis,Northern Bright
Tischeria ekebladella,Oak Carl
Tischeria dodonaea,Small Carl
Coptotriche marginea,Bordered Carl
Coptotriche heinemanni,Kent Carl
Coptotriche gaunacella,Grey Carl
Coptotriche angusticollella,Rose Carl
Diplodoma laichartingella,Dotted-margin Smoke
Narycia duplicella,White-speckled Smoke
Dahlica triquetrella,Narrow Lichen Case-bearer
Lesser Lichen Case-bearer,Lesser Lichen Case-bearer
Lichen Case-bearer,Lichen Case-bearer
Taleporia tubulosa,Brown Smoke
Bankesia conspurcatella,Bankesia conspurcatella
Luffia lapidella,Grey Smoke
Luffia ferchaultella,Virgin Smoke
Bacotia claustrella,Shining Smoke
Proutia betulina,Birch Sweep
Psyche casta,Common Sweep
Psyche crassiorella,Scarce Grass Sweep
Epichnopterix plumella,Round-winged Sweep
Whittleia retiella,Netted Sweep
Acanthopsyche atra,Dusky Sweep
Pachythelia villosella,Black Sweep
Sterrhopterix fusca,Brown Sweep
Myrmecozela ochraceella,Wood-ant Clothes
Ateliotum insularis,Mediterranean Clothes
Tenaga nigripunctella,Black-spot Clothes
Eudarcia richardsoni,Dorset Tineid Moth
Infurcitinea captans,Infurcitinea captans
Infurcitinea albicomella,Torquay Clothes
Infurcitinea argentimaculella,Silver-barred Clothes
Ischnoscia borreonella,Small Clothes
Stenoptinea cyaneimarmorella,Barred Brown Clothes
Dryadaula pactolia,Cellar Clothes
Morophaga choragella,Large Clothes
Triaxomera fulvimitrella,Four-spotted Clothes
Triaxomera parasitella,Large Brindled Clothes
Archinemapogon yildizae,Large Scotch Clothes
Nemaxera betulinella,Gold-speckled Clothes
Corn Moth,Corn Moth
Cork Moth,Cork Moth
Nemapogon koenigi,Nemapogon koenigi
Nemapogon inconditella,Pale Devon Clothes
Nemapogon ruricolella,Gold-sheen Clothes
Nemapogon variatella,Pale Corn Clothes
Nemapogon clematella,Barred White Clothes
Nemapogon picarella,Pied Clothes Moth
Triaxomasia caprimulgella,Small Timber Clothes
Cephimallota crassiflavella,Simple Clothes
Tapestry Moth,Tapestry Moth
Trichophaga mormopis,Hide Clothes
Common Clothes Moth,Common Clothes Moth
Case-bearing Clothes Moth,Case-bearing Clothes Moth
Tinea murariella,Wall Clothes
Tinea translucens,Beaked Clothes
Tinea dubiella,Buff Clothes
Tinea flavescentella,Plain Clothes
Tinea lanella,Tapered Clothes
Large Pale Clothes Moth,Large Pale Clothes Moth
Tinea columbariella,Eaves Clothes
Tinea semifulvella,Fulvous Clothes
Tinea trinotella,Bird's-nest Moth
Tinea fictrix,Asian Clothes
Brown-dotted Clothes Moth,Brown-dotted Clothes Moth
Niditinea striolella,Brindled Clothes
Skin Moth,Skin Moth
Monopis weaverella,Carrion Moth
Monopis obviella,Yellow-backed Clothes
Monopis crocicapitella,Pale-backed Clothes
Monopis imella,Felt Clothes
Monopis monachella,White-blotched Clothes
Monopis fenestratella,Brown Timber Clothes
Ceratophaga haidarabadi,Indian Clothes
Ceratophaga orientalis,Oriental Clothes
Haplotinea ditella,Scarce Drab Clothes
Haplotinea insectella,Drab Clothes
Tropical Tobacco Moth,Tropical Tobacco Moth
Lindera tessellatella,Chequered Clothes
Opogona omoscopa,Opogona omoscopa
Opogona sacchari,Sugar-cane Moth
Opogona antistacta,Western Banana Moth
Yellow V Moth,Yellow V Moth
Psychoides verhuella,Hart's-tongue Smut
Psychoides filicivora,Fern Smut
Roeslerstammia pronubella,Yellow Ermel
Roeslerstammia erxlebella,Copper Ermel
Bucculatrix cristatella,Crested Bent-wing
Bucculatrix nigricomella,Daisy Bent-wing
Bucculatrix maritima,Saltern Bent-wing
Bucculatrix humiliella,Highland Bent-wing
Bucculatrix frangutella,Buckthorn Bent-wing
Bucculatrix albedinella,Elm Bent-wing
Bucculatrix cidarella,Alder Bent-wing
Bucculatrix thoracella,Lime Bent-wing
Bucculatrix ulmella,Oak Bent-wing
Bucculatrix ulmifoliae,Bucculatrix ulmifoliae
Bucculatrix bechsteinella,Hawthorn Bent-wing
Bucculatrix demaryella,Birch Bent-wing
Parectopa ononidis,Clover Slender
Caloptilia cuculipennella,Feathered Slender
Caloptilia populetorum,Clouded Slender
Caloptilia elongella,Pale Red Slender
Caloptilia betulicola,Red Birch Slender
Caloptilia rufipennella,Small Red Slender
Azalea Leaf Miner,Azalea Leaf Miner
Caloptilia alchimiella,Yellow-triangle Slender
Caloptilia robustella,New Oak Slender
Caloptilia stigmatella,White-triangle Slender
Caloptilia falconipennella,Scarce Alder Slender
Caloptilia semifascia,Maple Slender
Caloptilia hemidactylella,Sycamore Slender
Gracillaria syringella,Common Slender
Aspilapteryx tringipennella,Ribwort Slender
Euspilapteryx auroguttella,Gold-dot Slender
Calybites phasianipennella,Little Slender
Povolnya leucapennella,Sulphur Slender
Acrocercops brongniardella,Brown Oak Slender
Dialectica imperialella,Fen Slender
Dialectica scalariella,Dialectica scalariella
Leucospilapteryx omissella,Mugwort Slender
Callisto denticulella,Garden Apple Slender
Callisto coffeella,Highland Slender
Parornix loganella,Northern Slender
Parornix betulae,Brown Birch Slender
Parornix fagivora,Beech Slender
Parornix carpinella,Hornbeam Slender
Parornix anglicella,Hawthorn Slender
Parornix devoniella,Hazel Slender
Parornix scoticella,Rowan Slender
Parornix alpicola,Parornix alpicola
Parornix finitimella,Pointed Slender
Parornix torquillella,Blackthorn Slender
Phyllonorycter harrisella,White Oak Midget
Phyllonorycter roboris,Gold-bent Midget
Phyllonorycter heegeriella,Pale Oak Midget
Phyllonorycter tenerella,Hornbeam Midget
Phyllonorycter kuhlweiniella,Scarce Oak Midget
Phyllonorycter quercifoliella,Common Oak Midget
Phyllonorycter messaniella,Garden Midget
Phyllonorycter platani,London Midget
Phyllonorycter muelleriella,Western Midget
Phyllonorycter oxyacanthae,Common Thorn Midget
Phyllonorycter sorbi,Rowan Midget
Phyllonorycter mespilella,Scarce Brown Midget
Phyllonorycter blancardella,Brown Apple Midget
Phyllonorycter junoniella,Upland Midget
Phyllonorycter spinicolella,Sloe Midget
Phyllonorycter cerasicolella,Cherry Midget
Phyllonorycter lantanella,Viburnum Midget
Phyllonorycter corylifoliella,Hawthorn Midget
Firethorn Leaf Miner,Firethorn Leaf Miner
Phyllonorycter viminiella,Willow Midget
Phyllonorycter viminetorum,Osier Midget
Phyllonorycter salicicolella,Long-streak Midget
Phyllonorycter dubitella,Southern Midget
Phyllonorycter hilarella,Sallow Midget
Phyllonorycter cavella,Gold Birch Midget
Phyllonorycter ulicicolella,Gorse Midget
Phyllonorycter scopariella,Broom Midget
Phyllonorycter staintoniella,Cornish Midget
Phyllonorycter maestingella,Beech Midget
Nut Leaf Blister Moth,Nut Leaf Blister Moth
