MothName,MothFamily,MothSubFamily,MothGenus,MothSpecies,TVK
Red-barred Gold,Micropterigidae,,Micropterix,tunbergella,NHMSYS0000503233
Black-headed Gold,Micropterigidae,,Micropterix,mansuetella,NHMSYS0021142327
Yellow-barred Gold,Micropterigidae,,Micropterix,aureatella,NHMSYS0000503230
White-barred Gold,Micropterigidae,,Micropterix,aruncella,NHMSYS0000503229
Plain Gold,Micropterigidae,,Micropterix,calthella,NHMSYS0000503231
Common Oak Purple,Eriocraniidae,,Dyseriocrania,subpurpurella,NHMSYS0021142333
Small Hazel Purple,Eriocraniidae,,Paracrania,chrysolepidella,NHMSYS0021142335
White-spot Purple,Eriocraniidae,,Eriocrania,unimaculella,NHMSYS0000502490
Mottled Purple,Eriocraniidae,,Eriocrania,sparrmannella,NHMSYS0000502488
Small Birch Purple,Eriocraniidae,,Eriocrania,salopiella,NHMSYS0000502485
Washed Purple,Eriocraniidae,,Eriocrania,cicatricella,NBNSYS0100003067
Early Purple,Eriocraniidae,,Eriocrania,semipurpurella,NHMSYS0000502487
Large Birch Purple,Eriocraniidae,,Eriocrania,sangii,NHMSYS0000502486
Orange Swift,Hepialidae,,Triodia,sylvina,NHMSYS0021142341
Common Swift,Hepialidae,,Korscheltellus,lupulina,NHMSYS0021142343
Map-winged Swift,Hepialidae,,Korscheltellus,fusconebulosa,NHMSYS0021142344
Gold Swift,Hepialidae,,Phymatopus,hecta,NHMSYS0021142347
Ghost Moth,Hepialidae,,Hepialus,humuli,NBNSYS0000005307
Sorrel Pigmy,Nepticulidae,Nepticulinae,Enteucha,acetosae,NBNSYS0100003017
Drab Birch Pigmy,Nepticulidae,Nepticulinae,Stigmella,lapponica,NHMSYS0000504357
Pale Birch Pigmy,Nepticulidae,Nepticulinae,Stigmella,confusella,NHMSYS0000504344
Lime Pigmy,Nepticulidae,Nepticulinae,Stigmella,tiliae,NHMSYS0000504390
Common Birch Pigmy,Nepticulidae,Nepticulinae,Stigmella,betulicola,NHMSYS0000504339
Small Birch Pigmy,Nepticulidae,Nepticulinae,Stigmella,sakhalinella,NBNSYS0100005611
Short-barred Pigmy,Nepticulidae,Nepticulinae,Stigmella,luteella,NHMSYS0000504359
White-barred Alder Pigmy,Nepticulidae,Nepticulinae,Stigmella,glutinosae,NHMSYS0000504354
Silver-barred Alder Pigmy,Nepticulidae,Nepticulinae,Stigmella,alnetella,NHMSYS0000504328
